What is Introduction to Business Central and Power BI ?,Get an overview of using Power BI to get insight, business intelligence, and KPIs from your Business Central data.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/admin-powerbi
What is Set up email in Business Central (contains video) ?,Describes how to connect email accounts to Business Central so that you can send outbound messages without having to open another app.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/admin-how-setup-email
What is Synchronize items and inventory ?,Set up and run synchronizations of items between Shopify and Business Central   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/shopify/synchronize-items
What is Setting up Goods and Service Tax ?,Specifies Basic Setups required   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/localfunctionality/india/gst-001-basic-setup
What is Using Microsoft Dataverse ?,Introduction to how to integrate and use Microsoft Dataverse and its components to connect to other Dynamics 365 applications.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/admin-common-data-service
What is Set Up Value-Added Tax ?,Make sure that you correctly calculate, post, and report on VAT for sales and purchases. We recommend that you use the assisted setup guide to set up VAT.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/finance-setup-vat
What is How to Set Up Item Units of Measure ?,You can set up multiple units of measure for an item so that you can assign units of measure to the item.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/inventory-how-setup-units-of-measure
What is Synchronize items and inventory ?,Set up and run synchronizations of items between Shopify and Business Central   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/shopify/synchronize-items
What is Microsoft Dynamics 365 Business Central documentation ?,Business Central is a business management solution for small and mid-sized organizations. It connect sales, service, finance, and operations to work smarter, adapt faster, and perform better. Business Central automates and streamlines business processes and helps you manage your business.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/
What is Import and export data in the standard import export (SIE) format ?,This article explains how to import and export general ledger data according to the standard import export (SIE) format for Sweden.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/localfunctionality/sweden/how-to-use-sie-audit-files-export
What is Export the SAF-T audit file format in Denmark ?,This article explains how to export all required data according to the SAF-T format in Denmark.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/localfunctionality/denmark/how-to-use-saft-audit-files-export
What is Import and Export Data in SIEE [SE] ?,You can import and export general ledger data according to the standard import export (SIE) format explained in this topic.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/localfunctionality/sweden/how-to-import-and-export-data-in-standard-import-export-format
What is Record Special Sales Prices and Discounts ?,Describes how to define pricing and discount agreements for sales documents.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/sales-how-record-sales-price-discount-payment-agreements
What is Audit file export ?,This article explains how to set up different export formats and then use them, based on auditor or authority requirements.   URL: https://learn.microsoft.com/en-us/dynamics365/business-central/finance-how-to-export-audit-files
